案件編號,標題,地址,房型,坪數,樓層,租金,押金,捷運站,聯絡人,截圖檔名,頁碼,座標,執行日期,緯度,經度
20384322,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間兩房♥︎,中和區大勇街29巷,2房,20.0,4F/5F,22979,,智光商職站 177公尺,仲介:許小姐,591_20384322.png,10,"24°59'40""N 121°30'55""E",2026-01-06,24.994444444444447,121.51527777777778
20390223,小家庭.方正三房💘夫妻首選租金可優惠.全新整修,中和區中山路二段,3房,25.41,4F/5F,22000,,中和站 313公尺,屋主:林先生,591_20390223.png,10,"25°0'8""N 121°29'56""E",2026-01-06,25.002222222222223,121.49888888888889
20401113,捷運站旁整層住家3樓,中和區景平路64巷,3房,22.6,3F/4F,32000,,秀朗橋站 313公尺,屋主:王先生,591_20401113.png,10,"24°59'29""N 121°31'20""E",2026-01-06,24.99138888888889,121.52222222222223
20354126,近永平學區巷弄安靜超商便利,近永平學區巷弄安靜超商便利,3房,29.0,5F/5F,21000,,保順里[新巴士]站 84公尺,屋主:黃先生,591_20354126.png,10,"25°0'26""N 121°30'5""E",2026-01-06,25.00722222222222,121.50138888888888
20435411,捷運起站有座位+大窗採光通風好+綠意靜巷+生活機能超便利,中和區景新街496巷,2房,13.0,4F/5F,19000,,三介廟站 178公尺,代理人:李小姐,591_20435411.png,10,"24°59'12""N 121°30'52""E",2026-01-06,24.986666666666668,121.51444444444445
20412030,♥︎可租補♥︎景平捷運站♥︎台電♥︎大空間一房一廳♥︎大套房,中和區大勇街29巷,1房,15.0,4F/5F,21979,,智光商職站 177公尺,仲介:許小姐,591_20412030.png,10,"24°59'40""N 121°30'55""E",2026-01-06,24.994444444444447,121.51527777777778
20371121,可租補✿台電✿捷運中原站✿遠東世紀廣場✿,中和區民樂路80巷,2房,20.0,5F/5F,18985,,平河里站 84公尺,屋主:賴先生,591_20371121.png,10,"25°0'4""N 121°29'3""E",2026-01-06,25.00111111111111,121.48416666666667
20352568,"租補~前後,陽台~採光佳,台水台電",中和區員山路150巷,2房,30.0,5F/5F,22800,,,代理人:黃太太,591_20352568.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20433383,宜安路邊間美妝三房(家具家電可談~可租補),中和區宜安路,3房,31.0,4F/5F,31000,,潭墘站 121公尺,代理人:陳小姐,591_20433383.png,10,"24°59'54""N 121°30'47""E",2026-01-06,24.998333333333335,121.51305555555555
20346918,"優雅二房一衛一廳一陽台,採光,通風良好",中和區秀朗路三段128巷17弄5號,2房,18.0,5F/5F,12000,,,屋主:陳小姐,591_20346918.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20296971,可租補♥︎台電♥︎民樂停車場♥︎遠東世紀♥︎,中和區新生街177巷,2房,20.0,4F/4F,20951,,平河里站 54公尺,屋主:賴先生,591_20296971.png,10,"25°0'3""N 121°29'4""E",2026-01-06,25.000833333333333,121.48444444444445
20336440,"中和環球購物~大空間2陽台,傢俱家電齊全",中和區民治街132巷,3房,35.0,5F/5F,28800,,民享里[新巴士]站 119公尺,代理人:黃太太,591_20336440.png,10,"25°0'8""N 121°28'30""E",2026-01-06,25.002222222222223,121.47500000000001
20377386,可租補✿台電✿華中橋✿捷運中和站✿樓下就有7-11,中和區景平路,2房,16.0,4F/5F,19333,,中和站 268公尺,仲介:麥先生,591_20377386.png,10,"25°0'17""N 121°29'47""E",2026-01-06,25.004722222222224,121.49638888888889
20456069,可租補♥︎橋和捷運站♥︎遠東世紀♥︎兩房機車族首選♥︎,中和區中正路839巷2號,2房,20.0,5F/5F,19910,,中原站 483公尺,仲介:許小姐,591_20456069.png,10,"25°0'15""N 121°29'3""E",2026-01-06,25.004166666666666,121.48416666666667
20328333,全新裝潢/可貓/邊間靜巷2陽台3面採光/家具齊/包網路第四台,中和區員山路327巷55號,3房,26.0,5F/5F,22900,,員山站 219公尺,屋主:陳女士,591_20328333.png,10,"25°0'8""N 121°28'45""E",2026-01-06,25.002222222222223,121.47916666666667
20403493,中和圓通書香學區近公園美寓,中和區圓通路393巷19弄4號,3房,26.0,4F/5F,20000,,中和站 97公尺,屋主:何女士,591_20403493.png,10,"24°59'22""N 121°29'25""E",2026-01-06,24.989444444444445,121.49027777777778
20228766,捷運永安市場站.明亮採光兩房一廳.可貓,中和區南工路2巷,2房,18.0,4F/4F,25888,,南山高中站 24公尺,代理人:曾小姐,591_20228766.png,10,"25°0'0""N 121°30'20""E",2026-01-06,25.0,121.50555555555556
20342068,P2539生活機能超便利🏤中和兩房(可租補),中和區中山路三段,2房,25.51,2F/5F,22000,,,仲介:德鄰租屋,591_20342068.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20375881,P2612近ABC2樓美寓,中和區連城路389巷,3房,23.47,2F/5F,28000,,中正里一站 110公尺,仲介:德鄰租屋,591_20375881.png,10,"24°59'39""N 121°29'10""E",2026-01-06,24.99416666666667,121.48611111111111
20427108,社宅/友善房源/靜巷低樓層2房美寓/可貓可租補,中和區新生街166巷,2房,22.0,2F/4F,26000,,新生街[新巴士]站 92公尺,仲介:鄭先生,591_20427108.png,10,"25°0'1""N 121°28'59""E",2026-01-06,25.00027777777778,121.48305555555555
20427093,中和新生街/靜巷低樓層2房美寓/可貓可租補,中和區新生街166巷,2房,22.0,2F/4F,26000,,新生街[新巴士]站 92公尺,仲介:鄭先生,591_20427093.png,10,"25°0'1""N 121°28'59""E",2026-01-06,25.00027777777778,121.48305555555555
20427194,東昇社宅/遠東世紀/大空間3房美寓/隔音門窗/可租補,中和區中正路,3房,25.5,2F/5F,23500,,瓏山林台北中和飯店站 50公尺,仲介:鄭先生,591_20427194.png,10,"24°59'45""N 121°29'6""E",2026-01-06,24.995833333333334,121.485
20419814,東昇社宅/友善房源/近捷運/公寓三房兩衛/免服務費可入籍租補,中和區永和路128巷,3房,29.0,4F/5F,28000,,,仲介:吳先生,591_20419814.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20450200,國民運動公園二房~二樓,中和區連城路347巷,2房,18.81,2F/5F,20000,,連城路口站 65公尺,仲介:謝小姐,591_20450200.png,10,"24°59'41""N 121°29'16""E",2026-01-06,24.994722222222222,121.48777777777778
20432555,捷運永安市場站.明亮採光兩房一廳.可貓,中和區南工路2巷,2房,18.0,4F/4F,25888,,南山高中(中和路)站 61公尺,仲介:李小姐,591_20432555.png,10,"24°59'57""N 121°30'17""E",2026-01-06,24.999166666666667,121.50472222222223
20432511,景安站獨立陽台兩房一廳廁所開窗,中和區景新街295巷,2房,18.0,5F/5F,24888,,景平站 544公尺,仲介:李小姐,591_20432511.png,10,"24°59'40""N 121°30'42""E",2026-01-06,24.994444444444447,121.51166666666667
20367125,秀山公園大三房！,中和區自立路29巷,3房,33.6,5F/5F,30000,,自立路站 109公尺,仲介:林先生,591_20367125.png,10,"24°59'47""N 121°31'25""E",2026-01-06,24.99638888888889,121.52361111111111
20302426,免佣）近捷運景安【優質2房1廳】可補助★可養寵★附傢俱,中和區景平路,2房,13.0,4F/5F,20000,,中和站 418公尺,仲介:彭先生,591_20302426.png,10,"24°59'58""N 121°29'55""E",2026-01-06,24.999444444444446,121.49861111111112
20443386,062183莒光路⚡邊間採光通風佳❤️美4房,中和區莒光路,4房,34.41,5F/5F,27000,,國光派出所站 53公尺,仲介:租賃部,591_20443386.png,10,"25°0'4""N 121°28'22""E",2026-01-06,25.00111111111111,121.47277777777778
20443411,社宅🍎莒光路｜邊間採光通風佳｜美4房🍎可租補062183,中和區莒光路,4房,34.41,5F/5F,27000,,國光派出所站 53公尺,仲介:租賃部,591_20443411.png,10,"25°0'4""N 121°28'22""E",2026-01-06,25.00111111111111,121.47277777777778
20283800,捷運南勢角🍍公寓五樓🍍兩房🍍以馬內利,中和區信義街,2房,27.13,5F/5F,25800,,幸福市場站 82公尺,仲介:景安租賃部,591_20283800.png,10,"24°59'15""N 121°30'42""E",2026-01-06,24.9875,121.51166666666667
20442381,063662🍎景安站大3房<一樓>🍎可入戶籍租補,中和區中正路211巷,3房,29.77,1F/5F,28000,,力行里站 115公尺,仲介:租賃部,591_20442381.png,10,"24°59'33""N 121°29'48""E",2026-01-06,24.9925,121.49666666666667
20351476,060103社會住宅🍎中和捷運2房美寓🍎可入籍租補,中和區中和路,2房,16.0,3F/5F,20000,,,仲介:景安租賃部,591_20351476.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20324955,近捷運景平【秒殺2房2廳】補助洽★可入籍,中和區保健路,2房,19.0,5F/5F,17999,,,仲介:薛先生,591_20324955.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20301023,捷運南勢角2分【超值2房2廳】可補助★有廚房★邊間採光,中和區南山路,2房,24.0,4F/5F,24999,,捷運景安站 82公尺,仲介:鄭先生,591_20301023.png,10,"24°59'33""N 121°30'14""E",2026-01-06,24.9925,121.5038888888889
20367546,台貿新城【超值3房2廳】可入籍★可養寵★免爬梯★大空間,中和區連城路,3房,39.0,1F/4F,27000,,,仲介:鄭先生,591_20367546.png,10,"0°0'0""N 0°0'0""E",2026-01-06,,
20302411,近捷運景安【優質2房1廳】可補助★可養寵★附傢俱★流理臺,中和區景平路,2房,13.0,4F/5F,20000,,中和站 418公尺,仲介:鄭先生,591_20302411.png,10,"24°59'58""N 121°29'55""E",2026-01-06,24.999444444444446,121.49861111111112
20447764,遠東世紀廣場【超值6房2衛】可開伙★近商圈★房皆有窗,中和區連城路,6房,44.0,5F/5F,45000,,建一路站 132公尺,仲介:鄭先生,591_20447764.png,10,"24°59'50""N 121°29'13""E",2026-01-06,24.997222222222224,121.48694444444445
20424302,近捷運南勢角【超值2房1廳】有陽台★天然瓦斯★變頻冷氣,中和區忠孝街,2房,13.0,6F/6F,17000,,飛駝二村站 58公尺,仲介:鄭先生,591_20424302.png,10,"24°59'3""N 121°30'41""E",2026-01-06,24.984166666666667,121.51138888888889
20410303,近捷運永安市場【優質3房2廳】有補助★獨洗★流理臺,中和區宜安路,3房,23.0,6F/6F,21998,,宜安路站 75公尺,仲介:鄭先生,591_20410303.png,10,"24°59'53""N 121°30'39""E",2026-01-06,24.998055555555556,121.51083333333334
20272182,自強公園【超值2房2廳】稅另計★流理臺★垃圾代收,中和區國光街,2房,14.0,5F/5F,22799,,自強國小(民德路)站 84公尺,仲介:鄭先生,591_20272182.png,10,"25°0'2""N 121°28'9""E",2026-01-06,25.000555555555554,121.46916666666667
20370313,捷運南勢角4分【電梯1房1廳】獨洗★流理臺★精緻裝潢,中和區景平路,1房,11.0,2F/3F,27000,,捷運景安站 420公尺,仲介:陳先生,591_20370313.png,10,"24°59'30""N 121°30'31""E",2026-01-06,24.991666666666667,121.50861111111111
20433979,明德公園【超值2房1廳】台電帳單★獨洗衣機★小資首選,中和區華福街,2房,16.0,,9000,,華福市場[新巴士]站 89公尺,仲介:鄭先生,591_20433979.png,10,"24°59'47""N 121°28'3""E",2026-01-06,24.99638888888889,121.4675
19608571,生活機能好正四房，大露臺室內空間大，可租補免仲介費,中和區連城路23巷,4房,30.21,2F/4F,28000,,中和站 378公尺,仲介:林先生,591_19608571.png,10,"25°0'4""N 121°29'57""E",2026-01-06,25.00111111111111,121.49916666666667
20247876,景平三房全新裝潢可租補,中和區宜安路11巷,3房,28.6,4F/4F,36000,,智光商職站 79公尺,仲介:林小姐,591_20247876.png,10,"24°59'42""N 121°30'45""E",2026-01-06,24.995,121.5125
20311571,★全新整理★大空間★明亮通風好★格局方正★台電計價★,中和區華順街30巷,3房,21.9,,15000,,自強國小(民德路)站 43公尺,仲介:許先生,591_20311571.png,10,"24°59'58""N 121°28'5""E",2026-01-06,24.999444444444446,121.46805555555555
20365903,⭐可租補免服務費⭐舒適溫馨三房公寓，空氣清新、鬧中取靜,中和區景新街467巷,3房,25.0,3F/5F,28500,,三介廟站 124公尺,代理人:張先生,591_20365903.png,10,"24°59'19""N 121°30'52""E",2026-01-06,24.988611111111112,121.51444444444445
